START,n_1,C_max,Npred_1,CpredAlign,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,7.49306872,-6.675627e-01,6.116053,-0.596699,EXPECTED
5,5,2.59029039,5,7.41741394,-1.052060e+00,4.996182,-0.966162,EXPECTED
6,6,3.21040200,6,10.41038476,-1.176408e+00,6.369044,-1.130465,EXPECTED
8,8,2.16203856,8,4.97667637,-8.337107e-01,5.575458,-0.504826,EXPECTED
9,9,4.82779584,9,10.15404479,-7.434821e-01,6.363339,-0.837021,EXPECTED
10,10,2.12075924,10,7.07656009,-1.205014e+00,6.116696,-0.810209,EXPECTED
12,12,4.11650737,12,9.90306707,-8.778394e-01,6.060473,-0.954803,EXPECTED
13,13,2.19298840,13,5.28322612,-8.792717e-01,6.997923,-0.441594,EXPECTED
14,14,1.98989245,14,6.45659590,-1.177022e+00,6.968500,-0.640985,EXPECTED
(5#)/2,21,5.56147012,15,11.91996073,-7.623519e-01,6.594707,-0.964181,EXPECTED
(5#),30,6.16967660,30,11.28690046,-6.039964e-01,5.726766,-0.893563,EXPECTED
(5#)3/2,45,6.58667241,45,10.82537173,-4.968443e-01,5.338351,-0.794009,EXPECTED
(5#)2,60,6.70546296,60,10.40996321,-4.398408e-01,5.048043,-0.733849,EXPECTED
(5#)5/2,75,7.05323920,75,9.90063074,-3.391115e-01,4.727766,-0.602270,EXPECTED
(5#)3,90,5.39954322,90,9.82192777,-5.983031e-01,4.551517,-0.971629,EXPECTED
(7#)/2,105,8.33051805,105,11.14066060,-2.906759e-01,4.351918,-0.645725,EXPECTED
(5#)4,120,6.87602316,120,9.64390546,-3.382857e-01,4.271301,-0.648019,EXPECTED
(5#)9/2,135,6.46434286,135,9.61449225,-3.969702e-01,4.128194,-0.763082,EXPECTED
(5#)5,150,5.35604609,150,9.52787927,-5.759961e-01,4.043182,-1.031819,EXPECTED
(5#)11/2,165,7.63044269,165,10.23666562,-2.938301e-01,3.940170,-0.661449,EXPECTED
(5#)6,189,7.01512641,180,9.05151300,-2.548632e-01,3.859781,-0.527591,EXPECTED
(5#)13/2,195,7.45275910,195,9.81068051,-2.748873e-01,3.785416,-0.622896,EXPECTED
(7#),210,8.16901684,210,10.52644246,-2.535419e-01,3.762821,-0.626505,EXPECTED
(5#)15/2,225,6.28588791,225,9.63066424,-4.266451e-01,3.720591,-0.898991,EXPECTED
(5#)8,252,6.79435245,240,9.14878175,-2.975290e-01,3.677330,-0.640255,EXPECTED
(5#)17/2,255,7.25329173,255,9.62997470,-2.834252e-01,3.628660,-0.654975,EXPECTED
(5#)9,270,6.96496187,270,9.12721175,-2.703681e-01,3.586808,-0.602834,EXPECTED
(5#)19/2,294,6.15296742,285,9.16435031,-3.983865e-01,3.542686,-0.850028,EXPECTED
(5#)10,300,6.94040203,300,8.86786651,-2.450745e-01,3.522527,-0.547182,EXPECTED
(7#)3/2,315,8.43110623,315,10.28734917,-1.989869e-01,3.494147,-0.531244,EXPECTED
(5#)11,330,7.74497014,330,9.73969024,-2.291657e-01,3.492159,-0.571200,EXPECTED
(5#)23/2,345,7.94116543,345,9.34039743,-1.622888e-01,3.471171,-0.403101,EXPECTED
(5#)12,360,6.15932812,360,8.97988991,-3.770199e-01,3.448547,-0.817899,EXPECTED
(5#)25/2,375,6.01128592,375,8.94334640,-3.972711e-01,3.429995,-0.854829,EXPECTED
(5#)13,390,6.57136743,390,9.21593177,-3.382118e-01,3.417958,-0.773726,EXPECTED
(5#)27/2,405,6.06725959,405,8.68278013,-3.584347e-01,3.403807,-0.768410,EXPECTED
(7#)2,420,7.99188162,420,10.12971434,-2.370469e-01,3.399999,-0.628775,EXPECTED
(5#)29/2,435,7.48402071,435,9.11577399,-1.972361e-01,3.391967,-0.481064,EXPECTED
(5#)15,462,7.49643810,450,9.35456658,-2.214366e-01,3.384836,-0.548957,EXPECTED
(5#)31/2,465,7.47988224,465,9.10090102,-1.961564e-01,3.378423,-0.479815,EXPECTED
(5#)16,483,6.65597280,480,8.82594375,-2.821809e-01,3.374116,-0.643123,EXPECTED
(5#)33/2,495,7.79282126,495,9.20744109,-1.668090e-01,3.367088,-0.420132,EXPECTED
(5#)17,510,7.01146018,510,9.03727063,-2.538112e-01,3.366764,-0.601708,EXPECTED
(7#)5/2,525,7.78613819,525,9.97478987,-2.477159e-01,3.362859,-0.650831,EXPECTED
(5#)18,540,7.03712751,540,9.04433793,-2.509389e-01,3.362404,-0.596957,EXPECTED
(5#)37/2,555,6.91916673,555,8.90450315,-2.522618e-01,3.361809,-0.590556,EXPECTED
(5#)19,570,7.91213209,570,9.04777388,-1.341215e-01,3.363872,-0.337600,EXPECTED
(5#)39/2,585,7.50774530,585,9.29429457,-2.134655e-01,3.363069,-0.531226,EXPECTED
(5#)20,609,7.03221547,600,8.25149183,-1.598922e-01,3.366790,-0.362148,EXPECTED
(5#)41/2,615,7.25345459,615,8.56531231,-1.662427e-01,3.367550,-0.389558,EXPECTED
(7#)3,630,7.91377219,630,9.81482307,-2.152892e-01,3.368642,-0.564337,EXPECTED
(5#)43/2,645,6.23868815,645,8.70161489,-3.327387e-01,3.373128,-0.730161,EXPECTED
(5#)22,660,7.91893649,660,9.32251638,-1.631757e-01,3.375340,-0.415834,EXPECTED
(5#)45/2,675,7.30446862,675,8.53603066,-1.558098e-01,3.379134,-0.364461,EXPECTED
(5#)23,693,7.17206434,690,8.86605705,-2.120366e-01,3.388027,-0.499994,EXPECTED
(5#)47/2,714,7.25655511,705,8.29412864,-1.336427e-01,3.392102,-0.305879,EXPECTED
(5#)24,720,6.73346279,720,8.28776552,-2.076909e-01,3.398744,-0.457317,EXPECTED
(7#)7/2,735,8.54549570,735,9.66469263,-1.230750e-01,3.403721,-0.328816,EXPECTED
(5#)25,750,7.24579438,750,8.40065213,-1.478881e-01,3.406755,-0.338991,EXPECTED
(5#)51/2,765,7.15563604,765,8.92592618,-2.210598e-01,3.412290,-0.518798,EXPECTED
(5#)26,780,7.04990800,780,9.05234426,-2.500092e-01,3.422778,-0.585032,EXPECTED
(5#)53/2,795,6.51590604,795,8.55573905,-2.723560e-01,3.429240,-0.594835,EXPECTED
(5#)27,810,6.64448411,810,8.06809056,-1.941298e-01,3.439653,-0.413881,EXPECTED
(5#)55/2,825,7.66200530,825,8.96596124,-1.571616e-01,3.442795,-0.378749,EXPECTED
(7#)4,840,8.20414590,840,9.61106671,-1.582756e-01,3.450186,-0.407781,EXPECTED
(5#)57/2,855,7.47170017,855,8.74457782,-1.573113e-01,3.459199,-0.367969,EXPECTED
(5#)29,870,7.79339087,870,8.60888604,-9.951888e-02,3.470750,-0.234962,EXPECTED
(5#)59/2,885,7.91710221,885,8.47552677,-6.815755e-02,3.475546,-0.160672,EXPECTED
(5#)30,900,6.78664426,900,8.29079883,-2.001897e-01,3.488943,-0.431120,EXPECTED
(5#)61/2,915,6.91869875,915,8.09630160,-1.571797e-01,3.500513,-0.336409,EXPECTED
(5#)31,930,6.63119009,930,8.36759848,-2.325826e-01,3.510742,-0.494599,EXPECTED
(7#)9/2,945,7.55793189,945,9.51576061,-2.303518e-01,3.514713,-0.557038,EXPECTED
(5#)32,960,7.07321591,960,8.23670595,-1.522853e-01,3.524117,-0.330151,EXPECTED
(5#)65/2,975,7.58665247,975,8.94011724,-1.641583e-01,3.538234,-0.382526,EXPECTED
(5#)33,990,7.49719194,990,9.04412888,-1.875873e-01,3.549164,-0.435860,EXPECTED
(5#)67/2,1005,6.85377083,1005,8.37879781,-2.009055e-01,3.562579,-0.428068,EXPECTED
(5#)34,1020,7.33980895,1020,8.37923200,-1.324434e-01,3.573901,-0.290837,EXPECTED
(5#)69/2,1035,7.08454356,1035,8.38367135,-1.683705e-01,3.584902,-0.362389,EXPECTED
(7#)5,1050,8.66474534,1050,9.47713782,-8.961982e-02,3.596550,-0.225881,EXPECTED
(5#)71/2,1071,6.91378853,1065,8.24385334,-1.759501e-01,3.604853,-0.368965,EXPECTED
(5#)36,1092,7.70861537,1080,8.32158733,-7.651444e-02,3.612671,-0.169673,EXPECTED
(5#)73/2,1095,6.98422798,1095,8.32424403,-1.755178e-01,3.623747,-0.369787,EXPECTED
(5#)37,1110,7.44190976,1110,8.38801452,-1.196763e-01,3.640760,-0.259865,EXPECTED
(5#)75/2,1125,6.85042475,1125,7.85104815,-1.363364e-01,3.656211,-0.273678,EXPECTED
(5#)38,1140,7.12745061,1140,8.42352451,-1.670747e-01,3.668755,-0.353273,EXPECTED
(11#)/2,1155,9.13559580,1155,10.34976630,-1.247855e-01,3.686419,-0.329363,EXPECTED
(7#)6,1260,8.73658664,1260,9.37751228,-7.079494e-02,2.920744,-0.219439,EXPECTED
(7#)13/2,1365,8.55809036,1365,10.10407122,-1.660614e-01,2.895153,-0.533989,EXPECTED
(7#)7,1470,7.81539530,1470,9.30368933,-1.743155e-01,2.750790,-0.541042,EXPECTED
(7#)15/2,1575,8.53964513,1575,9.26268197,-8.127418e-02,2.656459,-0.272181,EXPECTED
(7#)8,1680,8.40436284,1680,9.24437899,-9.526473e-02,2.543533,-0.330256,EXPECTED
(7#)17/2,1785,8.79830470,1785,9.78409648,-1.061992e-01,2.469054,-0.399259,EXPECTED
(7#)9,1890,8.43214029,1890,9.15813634,-8.259207e-02,2.359864,-0.307643,EXPECTED
(7#)19/2,1995,8.57059128,1995,9.67533860,-1.212435e-01,2.322172,-0.475739,EXPECTED
(7#)10,2145,8.12379559,2145,9.39317047,-1.451854e-01,2.200676,-0.576811,EXPECTED
(7#)21/2,2205,8.06714663,2205,9.13702958,-1.245355e-01,2.132765,-0.501641,EXPECTED
(11#),2310,9.14058186,2310,10.04953571,-9.480239e-02,2.103047,-0.432208,EXPECTED
(7#)23/2,2415,8.64639902,2415,9.51466643,-9.569151e-02,2.070485,-0.419355,EXPECTED
(7#)12,2520,7.98399457,2520,9.07642607,-1.282417e-01,2.017737,-0.541414,EXPECTED
(7#)25/2,2625,8.59805030,2625,9.07751464,-5.426497e-02,1.972986,-0.243015,EXPECTED
(7#)13,2730,9.53914578,2730,9.83390712,-3.043238e-02,1.926921,-0.152970,EXPECTED
(7#)27/2,2835,8.56334577,2835,9.05412372,-5.572934e-02,1.880057,-0.261044,EXPECTED
(7#)14,2940,8.67739172,2940,9.03669929,-4.057299e-02,1.847008,-0.194535,EXPECTED
(7#)29/2,3135,8.85070812,3045,9.31438893,-5.106293e-02,1.805473,-0.256820,EXPECTED
(7#)15,3150,8.07464822,3150,9.01973077,-1.106852e-01,1.780543,-0.530783,EXPECTED
(7#)31/2,3255,9.08651900,3255,9.28641340,-2.176052e-02,1.733120,-0.115338,EXPECTED
(7#)16,3360,8.55513325,3360,9.00404796,-5.114277e-02,1.714431,-0.261845,EXPECTED
(11#)3/2,3465,9.20509845,3465,9.92561611,-7.536139e-02,1.673946,-0.430431,EXPECTED
