START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,9.10197203,-8.620754e-01,6.116053,-0.859762,EXPECTED
5,5,2.59029039,5,9.39655656,-1.288573e+00,4.996182,-1.362293,EXPECTED
6,6,3.21040200,6,14.53327495,-1.510045e+00,6.369044,-1.777798,EXPECTED
8,8,2.16203856,8,8.66095151,-1.387773e+00,5.575458,-1.165629,EXPECTED
9,9,4.82779584,9,13.75988860,-1.047368e+00,6.363339,-1.403680,EXPECTED
10,10,2.12075924,10,10.30579715,-1.580932e+00,6.116696,-1.338147,EXPECTED
12,12,4.11650737,12,13.13656898,-1.160395e+00,6.060473,-1.488343,EXPECTED
13,13,2.19298840,13,10.50748573,-1.566823e+00,6.997923,-1.188138,EXPECTED
14,14,1.98989245,14,10.81112242,-1.692495e+00,6.968500,-1.265872,EXPECTED
(5#)/2,21,5.56147012,15,15.47240958,-1.023196e+00,6.594707,-1.502863,EXPECTED
(5#),30,6.16967660,30,15.42436214,-9.163018e-01,5.726766,-1.616040,EXPECTED
(5#)3/2,45,6.58667241,45,15.74729152,-8.716201e-01,5.338351,-1.716002,EXPECTED
(5#)2,60,6.70546296,60,15.97422606,-8.680540e-01,5.048043,-1.836110,EXPECTED
(5#)5/2,75,7.05323920,75,18.46238944,-9.622487e-01,4.727766,-2.413222,EXPECTED
(5#)3,90,5.39954322,90,17.61061167,-1.182187e+00,4.551517,-2.682857,EXPECTED
(7#)/2,105,8.33051805,105,18.54148125,-8.000848e-01,4.351918,-2.346313,EXPECTED
(5#)4,120,6.87602316,120,16.53342209,-8.773435e-01,4.271301,-2.260997,EXPECTED
(5#)9/2,135,6.46434286,135,16.18252644,-9.176307e-01,4.128194,-2.354101,EXPECTED
(5#)5,150,5.35604609,150,15.79363022,-1.081381e+00,4.043182,-2.581527,EXPECTED
(5#)11/2,165,7.63044269,165,16.33550940,-7.611954e-01,3.940170,-2.209312,EXPECTED
(5#)6,189,7.01512641,180,15.23537546,-7.755513e-01,3.859781,-2.129719,EXPECTED
(5#)13/2,195,7.45275910,195,15.69092872,-7.444984e-01,3.785416,-2.176292,EXPECTED
(7#),210,8.16901684,210,16.24734428,-6.875809e-01,3.762821,-2.146881,EXPECTED
(5#)15/2,225,6.28588791,225,14.65125761,-8.462191e-01,3.720591,-2.248398,EXPECTED
(5#)8,252,6.79435245,240,14.46186619,-7.554235e-01,3.677330,-2.085076,EXPECTED
(5#)17/2,255,7.25329173,255,14.81228162,-7.140013e-01,3.628660,-2.083135,EXPECTED
(5#)9,270,6.96496187,270,14.18208837,-7.110877e-01,3.586808,-2.012131,EXPECTED
(5#)19/2,294,6.15296742,285,14.49766440,-8.570531e-01,3.542686,-2.355472,EXPECTED
(5#)10,300,6.94040203,300,13.94407186,-6.976948e-01,3.522527,-1.988252,EXPECTED
(7#)3/2,315,8.43110623,315,15.28925326,-5.952222e-01,3.494147,-1.962753,EXPECTED
(5#)11,330,7.74497014,330,14.54348392,-6.300994e-01,3.492159,-1.946794,EXPECTED
(5#)23/2,345,7.94116543,345,14.01076862,-5.677662e-01,3.471171,-1.748575,EXPECTED
(5#)12,360,6.15932812,360,13.57279590,-7.900998e-01,3.448547,-2.149737,EXPECTED
