START,n_geom,C_avg,Cpred_avg,Lambda_avg
4,4,1.921812,2.870137,-4.010912e-01
5,5,2.590290,4.266093,-4.989285e-01
6,6,2.140268,6.218875,-1.066658e+00
8,8,2.162039,2.814638,-2.637820e-01
9,9,4.827796,5.820367,-1.869733e-01
10,10,2.120759,3.855372,-5.976934e-01
12,12,4.116507,5.565937,-3.016603e-01
13,13,2.192988,3.090238,-3.429828e-01
14,14,1.989892,3.390541,-5.329090e-01
(5#)/2,21,2.633998,4.134925,-4.509662e-01
(5#),36,2.876782,4.157279,-3.681887e-01
(5#)3/2,52,3.324713,4.056518,-1.989416e-01
(5#)2,67,3.469063,4.094514,-1.657636e-01
(5#)5/2,82,3.512849,4.101748,-1.549859e-01
(5#)3,97,3.245242,4.071701,-2.268708e-01
(7#)/2,112,3.577188,4.150129,-1.485625e-01
(5#)4,127,3.760342,4.079120,-8.137140e-02
(5#)9/2,142,3.435240,4.062656,-1.677503e-01
(5#)5,157,3.400776,4.040971,-1.724814e-01
(5#)11/2,172,3.595329,4.115602,-1.351497e-01
(5#)6,187,3.875746,4.053337,-4.480224e-02
(5#)13/2,202,3.549984,4.106007,-1.455079e-01
(7#),217,3.643744,4.100968,-1.182113e-01
(5#)15/2,232,3.386986,4.091831,-1.890519e-01
(5#)8,247,3.644143,4.053707,-1.065106e-01
(5#)17/2,262,3.641143,4.052742,-1.070961e-01
(5#)9,277,3.604857,4.073078,-1.221168e-01
(5#)19/2,292,3.835434,4.111589,-6.952702e-02
(5#)10,307,3.852221,4.019191,-4.243084e-02
(7#)3/2,322,3.848927,4.105138,-6.444493e-02
(5#)11,337,3.814751,4.094035,-7.065575e-02
(5#)23/2,352,3.812565,4.078384,-6.739849e-02
(5#)12,367,3.603982,4.052443,-1.172805e-01
(5#)25/2,382,3.609332,4.035118,-1.115128e-01
(5#)13,397,3.493630,4.100937,-1.602744e-01
(5#)27/2,412,3.760777,4.038381,-7.121822e-02
(7#)2,427,3.810424,4.119559,-7.800563e-02
(5#)29/2,442,4.104867,4.048091,1.392796e-02
(5#)15,457,3.989478,4.110836,-2.996613e-02
(5#)31/2,472,3.818292,4.023589,-5.237127e-02
(5#)16,487,3.612001,4.068187,-1.189355e-01
(5#)33/2,502,3.868767,4.065558,-4.961519e-02
(5#)17,517,3.912217,4.030129,-2.969409e-02
(7#)5/2,532,3.817657,4.135507,-7.997305e-02
(5#)18,547,3.840468,4.055842,-5.456425e-02
(5#)37/2,562,3.620023,4.069071,-1.169344e-01
(5#)19,577,3.703510,4.032218,-8.503561e-02
(5#)39/2,592,3.860058,4.098917,-6.004073e-02
(5#)20,607,3.829508,4.044578,-5.464083e-02
(5#)41/2,622,3.819727,4.073862,-6.441247e-02
(7#)3,637,3.791617,4.065596,-6.976770e-02
(5#)43/2,652,3.782370,4.041450,-6.625269e-02
(5#)22,667,3.875934,4.124466,-6.214986e-02
(5#)45/2,682,3.849407,4.004734,-3.955821e-02
(5#)23,697,3.939480,4.111568,-4.275580e-02
(5#)47/2,712,3.962780,4.051697,-2.219005e-02
(5#)24,727,3.841887,3.998454,-3.994417e-02
(7#)7/2,742,4.196813,4.145472,1.230869e-02
(5#)25,757,3.951471,4.034145,-2.070653e-02
(5#)51/2,772,3.867464,4.068773,-5.074237e-02
(5#)26,787,3.860158,4.059355,-5.031600e-02
(5#)53/2,802,3.869580,4.059837,-4.799675e-02
(5#)27,817,3.804628,4.049023,-6.225729e-02
(5#)55/2,832,3.989217,4.044400,-1.373818e-02
(7#)4,847,3.938706,4.088186,-3.724897e-02
(5#)57/2,862,3.918843,4.101487,-4.555312e-02
(5#)29,877,4.052501,4.059149,-1.639112e-03
(5#)59/2,892,3.949773,4.033255,-2.091573e-02
(5#)30,907,3.780001,4.064537,-7.257558e-02
(5#)61/2,922,3.763695,4.053571,-7.419713e-02
(5#)31,937,3.707657,4.022753,-8.156633e-02
(7#)9/2,952,3.745684,4.124362,-9.630719e-02
(5#)32,967,3.873249,4.045748,-4.357270e-02
(5#)65/2,982,3.779940,4.087550,-7.823776e-02
(5#)33,997,3.802746,4.028730,-5.772786e-02
(5#)67/2,1012,3.775322,4.035789,-6.671616e-02
(5#)34,1027,3.986142,4.091093,-2.598834e-02
(5#)69/2,1042,3.809638,4.013726,-5.218603e-02
(7#)5,1057,4.027402,4.107502,-1.969341e-02
(5#)71/2,1072,4.035682,4.071866,-8.926149e-03
(5#)36,1087,4.127243,4.071961,1.348488e-02
(5#)73/2,1102,3.945217,4.013757,-1.722378e-02
(5#)37,1117,4.106924,4.093582,3.253957e-03
(5#)75/2,1132,4.009979,4.029370,-4.823811e-03
(5#)38,1147,3.914328,3.986801,-1.834564e-02
(11#)/2,1206,3.934787,4.066234,-3.286040e-02
(7#)6,1311,3.861564,4.056036,-4.913388e-02
(7#)13/2,1416,3.893630,4.058720,-4.152583e-02
(7#)7,1521,3.844801,4.057088,-5.374361e-02
(7#)15/2,1626,3.994843,4.057306,-1.551475e-02
(7#)8,1731,3.840676,4.054267,-5.412156e-02
(7#)17/2,1836,4.002059,4.059955,-1.436310e-02
(7#)9,1941,4.008652,4.050481,-1.038044e-02
(7#)19/2,2046,3.923622,4.054213,-3.274134e-02
(7#)10,2151,3.871467,4.054711,-4.624602e-02
(7#)21/2,2256,3.834199,4.049399,-5.460799e-02
(11#),2361,3.941892,4.058892,-2.924939e-02
(7#)23/2,2466,3.949622,4.052912,-2.581559e-02
(7#)12,2571,3.967332,4.054979,-2.185161e-02
(7#)25/2,2676,3.944872,4.046612,-2.546361e-02
(7#)13,2782,4.016696,4.056124,-9.768084e-03
(7#)27/2,2887,4.011164,4.052487,-1.024933e-02
(7#)14,2992,3.961016,4.051726,-2.264239e-02
(7#)29/2,3097,3.958835,4.052165,-2.330169e-02
(7#)15,3202,3.902501,4.049744,-3.703600e-02
(7#)31/2,3307,3.906135,4.051169,-3.645700e-02
(7#)16,3412,3.934967,4.043288,-2.715588e-02
(11#)3/2,3517,3.925535,4.058076,-3.320635e-02
(7#)17,3622,3.909336,4.053444,-3.619937e-02
(7#)35/2,3727,3.952744,4.044986,-2.306806e-02
(7#)18,3832,3.956936,4.049326,-2.308042e-02
(7#)37/2,3937,4.031398,4.046238,-3.674294e-03
(7#)19,4042,3.955871,4.058084,-2.551015e-02
(7#)39/2,4147,3.964585,4.050009,-2.131791e-02
(7#)20,4252,4.026057,4.050188,-5.975826e-03
(7#)41/2,4357,3.961867,4.047409,-2.136171e-02
(7#)21,4462,3.990033,4.047323,-1.425600e-02
(7#)43/2,4567,3.997206,4.045219,-1.194014e-02
(11#)2,4672,4.016742,4.051332,-8.574533e-03
(7#)45/2,4777,3.959576,4.049058,-2.234750e-02
(7#)23,4882,3.940226,4.048008,-2.698668e-02
(7#)47/2,4987,3.928459,4.051256,-3.077969e-02
(7#)24,5092,3.991574,4.043075,-1.281996e-02
(7#)49/2,5197,4.029584,4.053586,-5.938896e-03
(7#)25,5302,3.987333,4.040031,-1.312968e-02
