n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
2053553,2.579809,2.124847,0.454962,2.138497,0.441312,5416,7219,0.500000000000
2098952,2.580068,2.127080,0.452988,2.138584,0.441484,5416,7219,0.500000000000
3004042,2.591117,2.126111,0.465005,2.139978,0.451139,5416,7219,0.500000000000
3760034,2.593551,2.130375,0.463176,2.140818,0.452733,5416,7219,0.500000000000
4792159,2.588525,2.133645,0.454881,2.141699,0.446826,5416,7219,0.500000000000
5167067,2.597599,2.131446,0.466153,2.141967,0.455632,5416,7219,0.500000000000
6175451,2.603294,2.130838,0.472456,2.142591,0.460703,5416,7219,0.500000000000
6634582,2.604438,2.136727,0.467711,2.142839,0.461600,5416,7219,0.500000000000
7074094,2.612133,2.136650,0.475483,2.143058,0.469075,5416,7219,0.500000000000
7376626,2.610535,2.134057,0.476478,2.143200,0.467335,5416,7219,0.500000000000
8143934,2.607556,2.134337,0.473219,2.143533,0.464023,5416,7219,0.500000000000
9121549,2.613892,2.134185,0.479707,2.143910,0.469981,5416,7219,0.500000000000
9968677,2.615083,2.137471,0.477612,2.144202,0.470881,5416,7219,0.500000000000
10030684,2.609830,2.137213,0.472617,2.144222,0.465608,5416,7219,0.500000000000
14546944,2.610027,2.137670,0.472357,2.145408,0.464619,5416,7219,0.500000000000
24496594,2.621733,2.141974,0.479758,2.146986,0.474747,5416,7219,0.500000000000
30099763,2.626030,2.141354,0.484676,2.147584,0.478445,5416,7219,0.500000000000
37751653,2.626389,2.143382,0.483007,2.148226,0.478163,5416,7219,0.500000000000
41344276,2.629465,2.142290,0.487175,2.148479,0.480986,5416,7219,0.500000000000
44294533,2.631231,2.144463,0.486768,2.148669,0.482562,5416,7219,0.500000000000
53699671,2.633020,2.144428,0.488592,2.149192,0.483828,5416,7219,0.500000000000
55083529,2.633461,2.145613,0.487848,2.149261,0.484200,5416,7219,0.500000000000
66759878,2.632266,2.145474,0.486792,2.149771,0.482495,5416,7219,0.500000000000
78822322,2.634340,2.145329,0.489010,2.150203,0.484136,5416,7219,0.500000000000
79589386,2.634917,2.146147,0.488771,2.150228,0.484689,5416,7219,0.500000000000
82476448,2.635786,2.145925,0.489861,2.150320,0.485467,5416,7219,0.500000000000
83573866,2.635813,2.146278,0.489536,2.150354,0.485460,5416,7219,0.500000000000
92977351,2.636052,2.147055,0.488997,2.150625,0.485427,5416,7219,0.500000000000
96281998,2.635636,2.146301,0.489335,2.150714,0.484922,5416,7219,0.500000000000
